Selection,Tc,T0,k,Variability,Error,Generations
boltzmann,10,20,0.1,Low,0.1,1
boltzmann,10,20,0.1,Medium,0.1,1
boltzmann,10,20,0.1,High,0.1,1
boltzmann,10,20,0.1,Low,1e-10,1000
boltzmann,10,20,0.1,Medium,1e-10,1000
boltzmann,10,20,0.1,High,1e-10,253
boltzmann,10,20,0.1,Low,1e-50,1000
boltzmann,10,20,0.1,Medium,1e-50,1000
boltzmann,10,20,0.1,High,1e-50,1000
boltzmann,20,40,0.01,Low,0.1,43
boltzmann,20,40,0.01,Medium,0.1,1
boltzmann,20,40,0.01,High,0.1,1
boltzmann,20,40,0.01,Low,1e-10,1000
boltzmann,20,40,0.01,Medium,1e-10,1000
boltzmann,20,40,0.01,High,1e-10,292
boltzmann,20,40,0.01,Low,1e-50,1000
boltzmann,20,40,0.01,Medium,1e-50,1000
boltzmann,20,40,0.01,High,1e-50,1000
boltzmann,40,80,0.001,Low,0.1,1
boltzmann,40,80,0.001,Medium,0.1,1
boltzmann,40,80,0.001,High,0.1,1
boltzmann,40,80,0.001,Low,1e-10,1000
boltzmann,40,80,0.001,Medium,1e-10,995
boltzmann,40,80,0.001,High,1e-10,260
boltzmann,40,80,0.001,Low,1e-50,1000
boltzmann,40,80,0.001,Medium,1e-50,1000
boltzmann,40,80,0.001,High,1e-50,1000
